feature,importance,std
is_monthly_contract,0.10779542072510837,0.013435438907129001
is_fiber,0.0303404017857144,0.0056999591120736924
is_long_term,0.011114380411255542,0.0028748201737972207
high_monthly_charges,0.01090875270562784,0.0024235128391227423
is_electronic_check,0.00865817775974036,0.004241504962216199
engagement_score,0.005456236471861568,0.0023101686491586557
has_partner,0.005265827922078059,0.002299968497365792
is_two_year,0.003653612012987173,0.0022986669212922595
tenure,0.002476494859307491,0.0013231286078763213
has_internet,0.0023545725108226204,0.0017038269898412303
num_services,0.001882609577922197,0.0007472872426815679
no_tech_support,0.0011985930735931719,0.0016723624019643075
is_new_customer,0.0009660781926407995,0.0008920198247761867
MonthlyCharges,0.0008044169372295388,0.0002719772028162324
is_paperless,0.0004635078463204767,0.0007032742394179675
is_auto_pay,0.00039366883116892146,0.0005450554628077634
billing_spike,8.421266233778664e-05,6.904570933787667e-05
has_dependents,-1.4711850649214615e-05,5.104407965949082e-05
SeniorCitizen,-8.641098484833225e-05,0.00013526912485027393
is_senior,-8.641098484833225e-05,0.00013526912485027393
no_device_protection,-0.00033583603896087945,0.0006480346820352934
no_online_security,-0.0006249999999998534,0.0010322008204664047
TotalCharges,-0.0006606804653678318,0.0006566215229930034
avg_monthly_spend,-0.0008605587121210807,0.00030147685112146726
