risk_segment,count,avg_churn_prob,avg_monthly_charges,count_pct,week
HIGH,293,0.7169044274082487,77.98938566552901,4.2,2026-05-04
LOW,4824,0.16543561642106427,67.51860696517413,68.5,2026-05-04
MEDIUM,1926,0.47845919669879433,71.66995327102804,27.3,2026-05-04
HIGH,294,0.7163137334687103,77.96714285714286,4.2,2026-05-11
LOW,4835,0.16608891853038246,67.64207859358842,68.6,2026-05-11
MEDIUM,1914,0.4792421214499248,71.38202194357368,27.2,2026-05-11
HIGH,288,0.7173905028173964,78.52590277777777,4.1,2026-05-18
LOW,4831,0.16559872456244504,67.57009935831091,68.6,2026-05-18
MEDIUM,1924,0.4793597091740572,71.4918762993763,27.3,2026-05-18
